"관리기관별(1)",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"세종자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,2,1.70,46,47320,-,-,-,4,-,2,2,-,-,-,-,-,4,2.85,356,94261,-,-,-,4,1,1,1,-,-,-,1,0,4,5.05,78,151848,-,-,-,1,-,-,-,-,-,-,-,1,1,0.01,-,3775,-,-,-,1,-,-,-,-,-,-,-,1,1,0.20,-,7062,-,-,-,2,-,-,1,-,-,-,-,1,2,0.08,-,3437,-,-,-,6,-,-,-,1,1,-,-,4,6,1.09,-,51782,-,-,-,7,-,2,2,-,-,-,-,3,7,0.89,12,30604,-,-,-,4,3,-,-,-,-,-,1,-,4,0.49,-,23468,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,1,1,-,2,1,-,2,7,0.67,-,23572,-,-,-,10,2,1,-,-,-,-,-,7,10,1.58,-,77112,-,-,-
"경기도",6,5,-,-,-,1,-,-,-,6,0.53,-,27879,-,-,7,4,1,-,1,-,-,-,1,7,0.61,-,25686,-,-,-,9,5,1,2,-,-,-,-,1,9,0.74,-,57920,-,-,-,5,1,2,-,1,-,-,-,1,5,2.00,252,76046,-,-,-,42,33,1,5,1,-,-,-,2,42,3.94,-,627114,-,-,-,143,30,24,32,4,5,-,3,45,143,85.18,4939,4479665,1,1,-,111,31,28,31,-,7,1,2,11,111,43.33,-,1977119,1,1,-,147,35,30,40,8,4,-,4,26,147,44.42,161,2210496,-,-,-,67,19,9,14,-,2,-,5,18,67,15.57,428,758854,1,-,1,164,33,19,23,7,1,1,18,62,164,40.38,-,1186282,2,1,1,209,49,14,24,41,2,1,24,54,209,49.21,-,2066925,1,1,-,70,15,5,8,16,5,-,8,13,70,11.66,-,538985,3,1,2,143,16,6,20,14,3,7,77,143,66.05,-,3181736,1,-,1,101,16,8,15,16,7,-,11,28,101,96.26,-,4830923,1,-,1
"강원도",37,15,2,9,3,1,-,3,4,37,91.47,2183,1860936,-,-,33,17,4,3,2,1,1,4,1,33,110.06,5142,3055221,-,-,-,30,15,-,2,1,1,-,4,7,30,4.48,173,244915,-,-,-,34,17,5,5,3,1,-,-,3,34,8.85,607,501237,-,-,-,48,23,10,5,2,-,-,1,7,48,10.07,451,478894,-,-,-,96,43,11,9,5,2,2,5,19,96,196.03,16770,6823805,-,-,-,81,23,10,18,5,-,-,4,21,81,48.54,3425,1377040,-,-,-,81,39,9,11,4,-,-,6,12,81,1192.29,199147,63901080,6,1,5,33,11,2,2,-,1,-,8,9,33,656.95,78676,36003655,15,-,15,67,20,4,11,6,2,-,5,19,67,2990.32,488995,253970968,4,3,1,52,14,2,5,4,-,-,5,22,52,196.64,7056,7835367,2,-,2,34,8,2,3,-,-,2,1,18,34,57.11,1368,3049335,-,-,-,70,2,1,6,-,1,6,54,70,5262.54,113658,258855927,-,-,-,55,8,2,6,3,-,-,7,29,55,231.77,53844,15225870,5,1,4
"충청북도",32,8,9,8,2,2,-,-,3,32,4.54,86,44359,1,1,22,6,6,6,2,1,-,-,1,22,9.00,189,219225,-,-,-,13,4,5,1,-,1,-,1,1,13,2.95,207,100540,1,1,-,11,1,4,5,1,-,-,-,-,11,4.15,148,164886,1,-,1,13,8,1,2,2,-,-,-,0,13,1.25,-,85611,-,-,-,27,12,5,5,2,-,-,-,3,27,6.60,113,389938,1,1,-,17,2,2,8,-,1,-,-,4,17,11.06,-,647980,1,1,-,44,21,6,5,-,4,-,5,3,44,4.34,61,211575,4,1,3,33,12,7,2,-,2,-,-,10,33,1.12,65,155600,2,-,2,25,2,7,5,-,1,-,2,8,25,4.05,-,121306,-,-,-,9,3,-,2,-,1,-,2,1,9,1.17,-,57793,-,-,-,8,4,-,-,1,-,-,-,3,8,76.26,40,2067693,1,-,1,22,14,-,-,-,1,1,6,22,13.25,-,617245,-,-,-,28,10,2,3,3,2,-,2,6,28,135.80,-,9464308,-,-,-
"충청남도",7,6,1,-,-,-,-,-,-,7,0.69,21,4904,-,-,14,3,4,-,-,2,1,-,4,14,11.83,719,479697,-,-,-,15,6,2,1,-,1,-,-,5,15,10.32,221,398563,-,-,-,16,3,5,4,-,1,-,-,3,16,16.49,1034,598898,1,1,-,21,4,6,5,3,-,-,1,2,21,4.65,172,281185,-,-,-,21,9,5,2,1,1,-,-,3,21,3.12,66,222003,1,1,-,13,4,1,2,1,2,-,1,2,13,1.31,-,94258,-,-,-,46,24,2,-,2,2,-,8,8,46,2.82,166,386051,-,-,-,27,11,3,5,1,2,-,1,4,27,2.44,43,177788,2,1,1,36,21,3,2,-,3,-,4,3,36,3.55,50,117700,2,2,-,34,21,-,4,3,-,-,4,2,34,3.97,-,211092,1,-,1,22,14,-,1,2,2,-,-,3,22,40.45,21,2005084,2,2,-,63,36,3,3,2,-,3,16,63,187.92,101,9322759,-,-,-,76,24,14,14,11,1,-,1,11,76,2559.94,265733,149436341,1,-,1
"전라북도",6,5,-,1,-,-,-,-,-,6,1.03,13,3700,-,-,9,3,3,2,-,-,-,-,1,9,3.38,215,208463,-,-,-,11,7,1,-,-,-,-,-,3,11,2.02,80,91028,-,-,-,29,7,10,4,1,1,-,2,4,29,12.47,1016,565122,-,-,-,28,12,9,3,-,1,-,-,3,28,5.62,65,323184,-,-,-,20,5,-,5,1,1,-,-,8,20,3.11,46,234254,-,-,-,13,1,3,1,2,3,-,1,2,13,1.27,-,94340,-,-,-,23,14,3,1,-,4,-,-,1,23,2.40,95,226760,-,-,-,28,12,4,3,1,5,-,-,3,28,4.39,110,239122,-,-,-,21,10,3,4,-,2,-,1,1,21,1.93,30,73283,-,-,-,23,15,3,1,2,-,-,1,1,23,2.95,-,166241,-,-,-,22,12,4,1,-,4,-,-,1,22,15.66,413,839227,1,1,-,50,26,8,1,4,2,-,9,50,36.58,511,2108660,2,1,1,46,20,6,4,3,2,-,2,9,46,22.85,143,1153777,3,1,2
"전라남도",15,7,3,2,-,2,-,-,1,15,7.00,140,47914,-,-,37,18,15,2,-,-,-,1,1,37,37.55,2529,1103292,-,-,-,19,7,6,1,1,3,-,-,1,19,8.85,249,240100,-,-,-,53,13,24,6,2,2,-,-,6,53,34.51,2588,1146060,-,-,-,72,18,28,16,6,-,-,-,4,72,25.99,1512,934624,2,2,-,51,15,12,10,-,3,-,-,11,51,12.70,2378,551011,-,-,-,23,4,5,4,1,2,-,2,5,23,1.70,117,289151,1,1,-,31,8,6,7,-,1,-,1,8,31,3.98,303,272810,3,3,-,38,9,5,5,-,6,-,1,12,38,6.25,262,377747,-,-,-,37,6,8,8,-,3,-,1,11,37,12.97,2656,608505,-,-,-,36,7,9,5,3,1,-,1,10,36,8.19,65,612221,-,-,-,32,22,-,4,2,2,1,-,1,32,18.04,250,1163768,-,-,-,55,25,2,6,9,3,2,8,55,62.56,1436,3807325,-,-,-,53,16,7,10,4,-,-,2,14,53,952.33,35674,52535815,-,-,-
"경상북도",45,20,7,5,2,3,-,6,2,45,113.97,8081,1767484,-,-,45,10,11,11,1,3,-,5,4,45,742.88,38936,19089525,2,2,-,14,3,2,1,4,1,-,1,2,14,2.75,103,129382,1,-,1,42,17,5,5,6,1,1,2,5,42,103.52,10573,8553602,30,1,29,93,33,26,17,2,5,-,2,8,93,46.54,2401,4116081,4,2,2,80,21,19,8,-,3,-,-,29,80,32.96,3287,2881138,1,1,-,41,6,17,6,-,3,-,1,8,41,169.37,1540,7029519,3,1,2,103,30,19,13,2,4,-,6,29,103,148.39,18815,7458662,4,2,2,96,23,20,13,3,3,-,5,29,96,93.47,8076,4269956,1,-,1,113,32,15,16,5,7,-,10,28,113,88.24,8805,6736485,4,-,4,98,20,10,11,5,1,-,9,42,98,1999.52,424376,110402958,-,-,-,55,14,3,5,1,2,-,4,26,55,444.97,2456,20821405,4,3,1,111,36,10,8,8,-,9,40,111,17402.93,2658507,981960340,5,-,5,66,16,8,6,5,5,-,5,21,66,563.48,69218,31355777,7,-,7
"경상남도",57,23,11,5,2,5,-,4,7,57,8.89,175,254317,-,-,53,27,13,5,4,2,-,-,2,53,57.98,2448,2694910,-,-,-,23,11,-,3,1,-,1,1,6,23,7.38,383,227796,-,-,-,33,11,9,2,3,1,-,1,6,33,26.27,2855,1019791,1,1,-,31,7,5,5,2,-,-,1,11,31,6.23,1242,429290,-,-,-,22,7,3,1,2,1,-,2,6,22,8.67,250,436383,1,-,1,10,1,3,2,1,-,-,-,3,10,1.62,708,121077,-,-,-,59,22,7,13,3,2,-,2,10,59,9.57,1387,982249,-,-,-,66,34,7,2,3,2,1,16,1,66,7.93,683,791528,-,-,-,65,14,3,7,1,-,-,10,30,65,7.10,612,263153,4,2,2,41,18,5,2,5,1,-,4,6,41,25.69,465,1560039,-,-,-,36,8,5,2,9,-,-,5,7,36,56.09,555,3137646,1,-,1,98,36,9,9,5,2,18,19,98,1542.85,148046,70993517,-,-,-,58,22,7,4,1,2,-,7,15,58,337.37,38017,16521948,2,1,1
"제주도",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,1,0.50,-,23022,-,-,-,2,-,-,1,-,-,-,-,1,2,1.50,187,59103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1,2,1.88,-,87423,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,0.20,8,9732,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"북부",10,8,-,-,1,-,-,-,1,10,1.43,-,72594,-,-,6,4,-,-,1,-,-,-,1,6,0.87,-,18766,-,-,-,15,9,-,-,-,-,-,-,6,15,12.82,465,292163,-,-,-,2,-,-,-,1,-,-,-,1,2,0.25,31,24447,-,-,-,25,15,1,1,3,-,-,-,5,25,6.38,-,564308,-,-,-,29,12,1,2,1,-,-,1,12,29,28.45,1979,1698796,-,-,-,13,9,-,-,-,-,-,1,3,13,10.06,-,570317,-,-,-,32,10,1,5,3,-,-,2,11,32,13.48,28,833032,-,-,-,19,11,-,3,-,-,-,1,4,19,4.44,72,271875,2,-,2,14,8,-,3,-,-,-,1,2,14,9.23,70,277633,-,-,-,24,21,-,1,-,-,-,1,1,24,25.81,-,1266856,-,-,-,17,10,-,1,-,-,-,1,5,17,8.26,-,391462,1,-,1,15,10,-,1,1,-,-,3,15,10.61,57,514168,-,-,-,15,2,-,-,2,2,-,-,9,15,19.39,-,958374,-,-,-
"동부",1,1,-,-,-,-,-,-,-,1,0.50,-,22024,-,-,1,-,-,-,-,-,-,-,1,1,0.32,40,58344,-,-,-,3,1,-,-,-,-,-,-,2,3,0.16,-,11569,-,-,-,2,-,-,-,-,-,-,-,2,2,0.80,62,39535,-,-,-,11,5,1,-,-,-,-,-,5,11,5.40,440,265148,-,-,-,10,3,2,-,-,-,-,1,4,10,22.00,1279,1263205,-,-,-,5,2,-,-,-,-,-,-,3,5,2.01,113,67628,-,-,-,5,4,-,1,-,-,-,-,-,5,0.73,21,60487,-,-,-,2,1,-,-,-,-,-,-,1,2,13.16,999,369785,-,-,-,5,-,-,-,-,-,-,-,5,5,2.76,41,85483,-,-,-,4,-,1,2,-,1,-,-,-,4,2.65,-,88195,-,-,-,5,1,-,-,-,-,-,-,4,5,26.61,71,1416180,-,-,-,5,-,-,1,1,-,-,3,5,0.86,-,36848,-,-,-,4,2,-,-,-,-,-,-,2,4,1.98,-,73706,-,-,-
"남부",10,7,-,-,-,-,-,1,2,10,4.23,154,93899,-,-,8,1,1,4,-,-,-,-,2,8,5.30,1093,173687,-,-,-,10,6,-,-,-,-,-,-,4,10,6.50,225,208570,-,-,-,5,4,-,-,-,-,-,-,1,5,14.17,1876,379851,-,-,-,9,3,-,-,1,-,-,1,4,9,1.39,51,104170,-,-,-,9,1,-,1,1,1,-,-,5,9,2.44,102,161305,-,-,-,6,3,1,-,1,-,-,-,1,6,2.24,70,101128,-,-,-,13,6,1,-,1,-,-,-,5,13,5.98,357,207569,-,-,-,7,1,-,-,-,-,-,-,6,7,12.75,2129,420157,-,-,-,10,7,-,-,-,-,-,1,2,10,8.02,187,244110,-,-,-,9,5,-,-,1,-,-,-,3,9,53.38,5344,4231770,-,-,-,6,2,-,-,2,-,-,-,2,6,4.07,63,303739,-,-,-,10,5,-,-,1,-,-,4,10,27.55,183,3955743,-,-,-,12,7,-,-,-,-,-,-,5,12,20.67,1071,1070497,-,-,-
"중부",3,3,-,-,-,-,-,-,-,3,0.30,-,-,-,-,4,3,-,1,-,-,-,-,-,4,4.31,-,142580,-,-,-,4,1,-,-,-,-,-,-,3,4,1.35,93,163424,-,-,-,4,-,2,1,-,-,-,-,1,4,0.35,46,24009,-,-,-,9,5,-,1,1,-,-,-,2,9,1.90,-,103879,-,-,-,7,4,-,-,1,-,-,1,1,7,1.02,-,84248,-,-,-,4,3,-,1,-,-,-,-,-,4,67.05,531,1838652,-,-,-,12,10,-,1,-,-,-,-,1,12,17.32,1059,849265,-,-,-,2,1,1,-,-,-,-,-,-,2,0.73,13,46763,1,1,-,6,1,-,1,-,-,-,1,3,6,0.32,4,88688,-,-,-,5,4,-,-,-,1,-,-,-,5,3.10,-,144309,-,-,-,4,4,-,-,-,-,-,-,-,4,1.01,119,51341,-,-,-,5,4,-,1,-,-,-,-,5,3.07,71,212065,-,-,-,8,3,-,3,-,-,-,-,2,8,4.27,108,205475,-,-,-
"서부",3,1,-,-,-,-,-,-,2,3,0.90,30,27207,1,1,1,1,-,-,-,-,-,-,-,1,0.10,-,11141,-,-,-,3,2,-,1,-,-,-,-,-,3,2.90,106,68380,-,-,-,4,4,-,-,-,-,-,-,-,4,0.04,4,8679,-,-,-,2,2,-,-,-,-,-,-,0,2,0.16,-,11530,-,-,-,1,1,-,-,-,-,-,-,-,1,0.10,4,7409,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,2,-,-,-,-,-,-,4,1.06,70,717042,-,-,-,3,1,-,-,-,-,-,1,1,3,0.16,1,24582,-,-,-,2,2,-,-,-,-,-,-,-,2,1.50,-,28040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1,2,0.08,-,4168,1,-,1,4,1,-,-,-,1,-,2,4,5.90,284,286131,-,-,-,2,1,-,-,-,-,-,1,-,2,0.05,32,9836,-,-,-
"기타",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,0.10,3,6576,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,0.04,-,1319,-,-,-,1,-,-,-,-,-,-,-,1,1,0.10,-,4889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,3,3.28,-,21249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
